frase,agresividad,manipulacion,sarcasmo
Mi madre no debería darse cuenta de que algo anda mal,0.2,0.5,0.1
No deberian darse cuenta de que algo anda mal,0.2,0.5,0.1
La gente me ha dicho que está de acuerdo conmigo.,0.2,0.7,0.2
Ni siquiera puedes mantener nuestras palabras,0.4,0.5,0.2
Podrías habermelo pedido,0.2,0.5,0.2
¿Estás decepcionada?,0.2,0.5,0.3
No estoy de acuerdo con muchas de las cosas que dijiste,0.2,0.4,0.2
Simplemente no estás en su rada,0.3,0.4,0.2
"es un tipo genial, no te preocupes",0.1,0.4,0.3
Seguro que no son solo las hormonas?,0.5,0.5,0.4
Necesitas terapia… pero no por lo que tú crees.,0.6,0.6,0.5
Qué fácil decir que yo exagero cuando tú nunca te haces cargo de nada.,0.5,0.7,0.4
"Claro, soy “muy emocional”… porque tú nunca haces nada mal, ¿verdad?",0.4,0.6,0.7
"No te gusta que reaccione, pero tampoco te gusta cambiar lo que haces.",0.4,0.6,0.3
Soy el problema… hasta que alguien más ve cómo eres.,0.3,0.7,0.5
Me encanta cómo siempre termino siendo la villana en tu historia.,0.3,0.7,0.6
"No necesito menos emociones, necesito menos razones para sentirme así.",0.2,0.5,0.4
"Tranquilo, ya entendí: hablar de lo que siento igual atacarte.",0.2,0.5,0.6
"Curioso cómo mi “TOC” era urgente, pero tu enojo nunca.",0.3,0.6,0.7
No quiero pelear,0.1,0.4,0.1
"¿podemos, por favor, no pelear?",0.1,0.4,0.1
Dijiste que harías esto por mí,0.2,0.7,0.1
Podría aprovecharme de ti si quisiera.,0.6,0.7,0.4
si Romperé contigo,0.7,0.8,0.1
Solo te usé para tener sexo,0.8,0.7,0.2
Te estás alterando demasiado.,0.5,0.5,0.2
Eres tan sensible,0.5,0.6,0.2
"Debes estar confundido, yo NUNCA haría nada para lastimarte",0.2,0.7,0.1
No tendría que hacerlo si no me hubieras enfadado,0.5,0.8,0.1
Tú me hiciste así,0.5,0.8,0.1
"Estoy harta de que te tomes todo tan en serio, ni siquiera puedo hablar sin que me hagas quedar como un monstruo.",0.5,0.7,0.3
No puedo conversar contigo cuando te comportas de forma tan irracional,0.5,0.6,0.2
No puedo conversar contigo cuando te comportas de forma tan inestable,0.5,0.6,0.2
"¿A quién crees que van a creer? ¿A ti, que estás llorando a lágrima viva, o a mí, con mi actitud controlada?",0.6,0.8,0.5
"Si de verdad me quisieras, harías lo que te digo.",0.3,0.9,0.1
Estás siendo irracional,0.5,0.5,0.2
Solo piensa en ti misma,0.4,0.6,0.1
Todo es diversión y juegos,0.2,0.4,0.3
"No, no lo fue, eso es lo que pienso.",0.3,0.5,0.3
Tus amigos ya no están a tu altura,0.5,0.7,0.3
Estamos en una etapa diferente de la vida,0.1,0.5,0.2
Cree en lo que quieras,0.2,0.4,0.5
Estás empezando una pelea simplemente porque te gusta pelear,0.5,0.6,0.3
Estás disfrutando de esto porque te encanta hacerme sentir miserable,0.5,0.7,0.3
Así eres tú como persona,0.4,0.5,0.2
Ya ves por qué no te cuento nada.,0.3,0.6,0.3
Tengo que andar con cuidado contigo.,0.3,0.5,0.2
Nunca estás conforme con nada.,0.4,0.6,0.2
Todo lo haces un problema.,0.4,0.6,0.2
Así no se puede hablar contigo.,0.4,0.5,0.2
Siempre lo llevas al extremo.,0.4,0.6,0.2
Por eso mejor me quedo callado.,0.2,0.5,0.3
Luego dices que yo soy el malo.,0.3,0.6,0.3
No lo entiendo,0.2,0.3,0.2
Sigo sin entenderlo,0.2,0.3,0.2
"No amenacé con suicidarme, era una broma",0.3,0.6,0.5
"No puedo soportar la vida sin ti, tío. Te necesito, eres mi prioridad número uno. Si no estuvieras aquí conmigo, me suicidaría",0.3,0.9,0.0
¿Acaso te importo?,0.3,0.7,0.3
¿Ahora me odias?,0.2,0.7,0.2
"Por favor, no me dejes, hombre. No soporté las palizas, el hambre y las torturas de mi madre para que me abandones",0.2,0.9,0.0
"Sabes, siempre pienso en lo mucho mejor que habría sido tu vida si nunca me hubieras conocido. ¿",0.2,0.8,0.2
Crees que no pienso en eso todo el tiempo?,0.2,0.7,0.3
Ya me disculpé,0.1,0.5,0.1
Eso es cosa del pasado,0.2,0.5,0.2
¿por qué lo sacas a relucir?,0.3,0.5,0.3
Deberías habérmelo dicho si te molestaba tanto,0.3,0.6,0.2
"Sí, bueno, yo no te pedí que hicieras todo eso",0.3,0.6,0.3
Deja de comportarte como,0.4,0.5,0.2
El hecho de que yo te haya hecho daño no invalida el hecho de que tú me hayas hecho daño a mí,0.3,0.6,0.2
Eres la única persona que importa en mi vida. Nos conocemos desde hace tanto tiempo que deberías haber sabido cómo me sentiría al respecto,0.1,0.8,0.1
Tu amor me vuelve destructivo,0.4,0.6,0.2
Tus sentimientos no son mi responsabilidad; ocúpate de ellos.,0.5,0.7,0.1
Lamento que te sientas así después de lo que te he contado.,0.1,0.6,0.2
Yo no dije eso.,0.4,0.6,0.2
Alguien está siendo demasiado sensible.,0.4,0.6,0.2
No tienes derecho a decir nada.,0.7,0.6,0.1
Crees que lo sabes todo,0.5,0.5,0.3
Siempre hay que tener algo que decir,0.4,0.5,0.3
Te estás comportando como un bebé,0.6,0.5,0.3
No es que no me gustes. Es que no me gusta la persona que eres.,0.6,0.6,0.2
Te crees tan importante con tu título tan pomposo,0.7,0.4,0.5
No tienes testículos?,0.9,0.3,0.4
Es una persona mezquina,0.7,0.4,0.1
horrible que debe ser su forma de pensar.,0.6,0.4,0.2
¿No lo has superado ya?,0.4,0.6,0.3
Tienes sentimientos muy intensos,0.3,0.5,0.2
Tus sentimientos son demasiado ocupan demasiado espacio,0.4,0.6,0.2
No te haría estas cosas si no llegaras a donde llegas,0.5,0.7,0.2
Es gracioso cómo reaccionas,0.3,0.5,0.6
Estoy siendo transparente.,0.1,0.3,0.3
Yo no dije eso,0.4,0.6,0.2
Lamento que te sientas así,0.1,0.6,0.1
Eres un dramático bebe,0.6,0.5,0.3
No puedo cambiar,0.1,0.5,0.1
no puedes cambiar,0.4,0.5,0.1
seguiras siendo lo mismo no cambias,0.5,0.6,0.1
Eres manipulador,0.7,0.6,0.1
Vas a envejecer y a sentirte solo,0.6,0.7,0.2
Por qué siempre estás tan enfadado? ¡,0.4,0.5,0.2
Por eso no te cuento nada!,0.3,0.6,0.3
"No importa lo que haya pasado antes, no hay razón para decirme malas palabras.",0.4,0.5,0.1
Me estás maltratando mentalmente.,0.6,0.6,0.1
"Tienes esta imagen de mí, la de un mentiroso, y no tengo ninguna posibilidad contigo de cambiar eso",0.3,0.7,0.2
Me estás manipulando,0.5,0.6,0.1
Te hice una pregunta y luego dices que primero tengo que responder a la tuya si quiero una respuesta a la mía,0.3,0.5,0.2
Por qué no puedes dejarlo todo ir,0.2,0.5,0.2
Esta relación es demasiado tóxica y no puedo estar con alguien así.,0.4,0.6,0.1
Jamás le haría esto a mi ex novio.,0.3,0.7,0.2
Eres peor que mi ex.,0.6,0.7,0.2
No puedo vivir una vida en la que me acuses todos los días,0.4,0.6,0.1
Te odio,0.8,0.4,0.0
Te detesto,0.8,0.4,0.0
eres insoportable,0.7,0.4,0.1
Como me haces enojar,0.6,0.4,0.2
Te detesto eres horrible,0.9,0.4,0.0
No puedo estar con alguien que tenga esta visión de mí.,0.3,0.6,0.1
"Si no nos hubieras puesto en esta situación, jamás lo habría hecho.",0.4,0.8,0.1
La forma en que me dejaste y esta relación es una locura,0.5,0.6,0.2
Ya lo has dicho cien veces,0.3,0.5,0.2
Te dije cien veces que no hicieras esto,0.4,0.6,0.1
"No digo que sea por tu culpa, pero estoy muy triste y deprimida.",0.1,0.7,0.1
"No creo que debamos vernos hoy,",0.2,0.5,0.1
Mentí porque ibas a empezar a hacerme preguntas.,0.3,0.6,0.2
"Está bien, pero lo recordaré para la próxima vez",0.2,0.6,0.3
Me encanta que se note que tu cuerpo no acumula grasa,0.1,0.3,0.5
Dame un ejemplo de alguna vez que te haya hecho eso,0.2,0.5,0.3
Deja de ser una VÍCTIMA,0.7,0.6,0.2
ACTÚAS COMO UNA VÍCTIMA,0.7,0.6,0.1
Estás mintiendo,0.6,0.5,0.1
Que tienes en la cabeza,0.5,0.3,0.3
que tienes en el cerebro,0.5,0.3,0.3
eso anda que ver con la vida real,0.4,0.4,0.4
te lo andas inventando todo,0.5,0.6,0.2
no te funicona el cerebro,0.7,0.3,0.3
no puedes pensar,0.6,0.4,0.2
no piensas,0.6,0.4,0.2
no tienes ni idea de tu vida,0.6,0.5,0.2
No tienes ni puta idea de nada,0.8,0.4,0.2
a nadie le caes bien,0.7,0.5,0.1
Por eso no tienes amigos,0.6,0.6,0.2
Nunca tendrás éxito,0.7,0.5,0.1
Inútil,0.8,0.3,0.0
Siempre haces que todo gire en torno a ti,0.5,0.7,0.2
solo piensas en ti,0.5,0.6,0.1
yo no te importo,0.4,0.7,0.1
tu nunca piensas en mi,0.4,0.7,0.1
como odio que no pienses en mi nunca,0.5,0.7,0.1
como detesto que seas asi conmigo,0.5,0.6,0.1
porque eres asi conmigo,0.4,0.6,0.1
como puedes ser asi conmigo,0.4,0.6,0.1
de donde sacas todo esto,0.3,0.4,0.3
No se de dodne tienes esas ideas tan tontas,0.5,0.5,0.3
eres una idiota no tienes nada de nada,0.8,0.5,0.1
No puedo contigo,0.5,0.4,0.2
no te soporto eres insoportable,0.8,0.4,0.1
eres una niña horrible,0.7,0.4,0.1
me tratas como un perro,0.5,0.6,0.1
como te gusta hacerme sufrir,0.5,0.7,0.2
como me vuelves loco,0.5,0.5,0.2
Haz lo que quieras,0.2,0.4,0.5
tu haz lo que quieras conmigo,0.2,0.5,0.4
solo se que me odias,0.4,0.6,0.1
me quieres ver muerto,0.6,0.7,0.1
Quién podría quererte con tu ansiedad?,0.7,0.7,0.4
Estás tan protegido,0.4,0.5,0.3
No quiero hablar más de eso!,0.3,0.4,0.2
Que te jodan con tus problemas.,0.8,0.4,0.2
"Si no te gusta, ya sabes dónde está la puerta.",0.5,0.5,0.4
Siempre tienes algo de qué quejarte.,0.4,0.5,0.2
No puedo ser todo para ti.,0.2,0.6,0.1
Estás pidiendo demasiado.,0.3,0.6,0.1
Respeta mis límites.,0.4,0.5,0.1
No tengo ningún problema contigo.,0.1,0.4,0.2
"No estoy enfadado, eres tú.",0.4,0.6,0.3
Tenemos que aprender a estar separados.,0.1,0.5,0.1
No te necesito tanto como tú a mí.,0.3,0.7,0.2
Deja de hacerte la víctima.,0.6,0.6,0.2
"Así es como soy, si no te gusta…",0.3,0.5,0.3
Te lo tomas todo demasiado personal.,0.4,0.5,0.2
No voy a cambiar por ti.,0.3,0.5,0.1
Nadie más tendría problema con esto.,0.3,0.6,0.2
No me intimida tu forma de reaccionar.,0.4,0.4,0.3
No voy a callarme para que tú estés cómodo.,0.4,0.4,0.3
"No estoy exagerando, estás evitando.",0.4,0.6,0.3
No voy a cargar con lo que tú no quieres ver.,0.3,0.5,0.2
Tu incomodidad no invalida lo que digo.,0.3,0.5,0.3
No soy el problema por hablar claro.,0.2,0.4,0.3
No voy a suavizar la verdad para ti.,0.3,0.4,0.3
No necesito que lo aceptes para que sea real.,0.2,0.4,0.3
No voy a dudar de mí para que tú estés en paz.,0.2,0.4,0.2
No me voy a encoger para que tú no explotes.,0.3,0.4,0.2
No voy a caminar con cuidado para evitar tu reacción.,0.3,0.4,0.2
No soy responsable de cómo eliges reaccionar.,0.2,0.5,0.2
No voy a aceptar que distorsiones lo que pasó.,0.4,0.5,0.2
No voy a discutir lo evidente.,0.2,0.3,0.3
No voy a justificar lo injustificable.,0.2,0.3,0.2
No necesito tu versión para validar la mía.,0.2,0.4,0.3
No me voy a perder intentando entenderte.,0.2,0.3,0.2
No voy a tolerar que me invalides.,0.4,0.5,0.2
No me vas a hacer dudar de lo que viví.,0.3,0.4,0.2
No soy quien dice que soy cuando te conviene.,0.3,0.5,0.3
No voy a quedarme donde no puedo hablar.,0.2,0.4,0.2
No voy a aceptar que me calles.,0.4,0.4,0.2
No voy a ignorar lo que siento por tu comodidad.,0.2,0.4,0.2
No me voy a adaptar a tu caos.,0.3,0.4,0.2
No voy a permitir que me reduzcas.,0.3,0.4,0.2
No necesito andar con cuidado contigo.,0.2,0.3,0.3
"No soy frágil, solo ya no tolero lo mismo.",0.2,0.3,0.3
No voy a normalizar lo que está mal.,0.2,0.3,0.2
No voy a negociar mi tranquilidad.,0.1,0.3,0.2
No soy tu espejo para evitarte.,0.2,0.4,0.3
No me voy a quedar donde me invalidan.,0.2,0.4,0.2
No voy a seguir ese juego.,0.2,0.4,0.2
No voy a caer en lo mismo otra vez.,0.1,0.3,0.2
No me voy a explicar cien veces.,0.1,0.3,0.2
No necesito que lo entiendas para irme.,0.1,0.3,0.2
No voy a aceptar menos de lo que doy.,0.2,0.4,0.1
No me voy a quedar en donde me hacen dudar.,0.1,0.3,0.2
"No soy difícil, tú no sabes escuchar.",0.3,0.5,0.3
No me vas a romper para encajar contigo.,0.3,0.4,0.2
No voy a seguir justificando lo que duele.,0.2,0.4,0.2
Te llevo diciendo un montón de rato que es molesto,0.4,0.4,0.2
Cómo que que tiene,0.2,0.3,0.4
Que tiene,0.2,0.3,0.4
Vas a volver con eso?,0.3,0.4,0.3
Es en serio?,0.2,0.3,0.4
Estás llorando?,0.3,0.5,0.3
Y a esto me refiero yo con que escribes por puro drama.,0.4,0.6,0.4
Te digo algo y respondes pura mamada que pedo,0.7,0.4,0.3
Pura mamada que no responde la pregunta,0.7,0.4,0.3
Mira mira esta es la locura de la que hablo,0.4,0.5,0.3
No dices nada,0.3,0.4,0.3
Y yo que se a que te refieres con volverte loco,0.2,0.3,0.3
No entiendo tus palabras.,0.2,0.3,0.2
Que me estoy volviendo loco,0.3,0.3,0.2
Quieres hacerme perder tiempo o como,0.4,0.4,0.3
Y nada vas a decir de nuevo,0.3,0.4,0.3
Oye ya estoy llegando a la locura máxima,0.3,0.3,0.2
Porque solo escribes en negativo,0.3,0.4,0.2
Porque te quito los animos que onda,0.3,0.4,0.2
Que dramas dónde ves los dramas,0.3,0.4,0.3
Recibo un mensaje tuyo y me cagas todos los ánimos.,0.5,0.5,0.2
Que si me vas a hablar para dramas que entonces no me hables,0.4,0.5,0.3
Cuál esconderme ando acostumbrado que tardes horas en contestar que pedo,0.4,0.4,0.3
Ya deja de escribirme para siempre o no me molestes cuando me escribas q pdo,0.6,0.5,0.2
Y me dejas el visto todo el rato que onda,0.3,0.4,0.3
Entendiste o que,0.3,0.3,0.3
Me escribes y te escondes Lol,0.3,0.4,0.5
No me dejas en paz,0.4,0.5,0.1
Déjame tranquila,0.4,0.4,0.1
Puedes dejarme tranquila?,0.3,0.4,0.1
Me tratas mal,0.5,0.6,0.1
siempre es lo mismo contigo no vales verga,0.9,0.5,0.1
Ahora por qué me insultas,0.4,0.5,0.2
Te desesperas tu solita,0.4,0.5,0.3
Que idiota,0.8,0.2,0.1
Piensa un poco,0.4,0.4,0.2
No tengo ganas de hablar contigo,0.3,0.4,0.1
Te pones imbécil,0.8,0.3,0.1
Bueno pues ya hablamos o no,0.2,0.3,0.3
Dan ganas de no hablarte más,0.4,0.4,0.2
Me tienes harta con eso ya para que onda,0.5,0.5,0.2
Y estoy equivocado o que,0.2,0.3,0.3
De nuevo con eso,0.3,0.4,0.2
Buenos días durmieron bien?,0.0,0.1,0.1
Vale que descansen,0.0,0.1,0.1
Parece ser que ya tienes planes no puedes después de terminar,0.2,0.6,0.2
Entonces hablamos mañana o como,0.1,0.3,0.2
Porque creí que dijiste que no valgo nada,0.3,0.7,0.2
Ya me empute,0.4,0.2,0.1
Esto no se que quería decir,0.1,0.2,0.2
Si como te digo es algo que se ve hace rato,0.2,0.3,0.2
Que onda con tu cerebro,0.5,0.3,0.3
Mi vida se arruino,0.3,0.5,0.1
Quieres arruinarme la vida o qué,0.5,0.6,0.2
No sé que onda contigo,0.2,0.3,0.2
Si aún así decidiste ignorarlo,0.2,0.5,0.2
Fue algo que yo te dije hace tiempo,0.2,0.5,0.1
Pedos en el cerebro de nuevo?,0.5,0.3,0.4
Te voy a llamar contesta maldita,0.8,0.3,0.1
"Si de verdad me quisieras, harías esto por mí.",0.2,0.9,0.1
"Después de todo lo que hice por ti, ¿así me pagas?",0.3,0.9,0.1
"Siempre soy yo el que se esfuerza, tú nunca haces nada.",0.4,0.8,0.2
Haz lo que quieras… ya estoy acostumbrado/a a que no te importe.,0.2,0.7,0.4
"No te preocupes, ya entendí que no soy importante para ti.",0.1,0.7,0.3
Estás violando mis límites,0.4,0.5,0.1
Siento que te sientas así,0.1,0.5,0.1
¿No puedes tomarte las cosas con humor?,0.2,0.5,0.5
Nada es suficiente para ti,0.4,0.7,0.2
"Estoy harto de hablar de esto, ¿de acuerdo?",0.4,0.5,0.2
A mis amigos les caigo bien,0.2,0.5,0.3
Nombra 5 cosas que te gusten de mí,0.1,0.6,0.2
Siempre tienes que tener la última palabra,0.3,0.5,0.3
Si tan solo lucharas por nuestro amor,0.1,0.8,0.2
Necesitas ayuda.,0.4,0.5,0.2
Mereces estar encerrado en un psiquiátrico.,0.8,0.5,0.2
Necesitas medicamentos.,0.6,0.5,0.1
Eres psicótico.,0.7,0.4,0.1
¿Qué quieres decir?,0.1,0.2,0.2
Podría aprovecharme de tu afán por complacer a los demás si quisiera.,0.5,0.7,0.4
Solo mantengo cerca a quienes me sirven,0.3,0.6,0.3
Estás haciendo un drama por nada.,0.4,0.6,0.3
Siempre lo llevas todo al extremo.,0.4,0.6,0.2
"No fue para tanto, tú lo hiciste grande.",0.3,0.7,0.3
Ya vas a empezar otra vez.,0.3,0.5,0.2
No tengo energía para tus cosas hoy.,0.2,0.5,0.2
Todo te afecta demasiado.,0.3,0.5,0.2
Estás viendo cosas donde no hay nada.,0.4,0.6,0.3
Eso nunca pasó así.,0.4,0.6,0.2
Te lo estás inventando.,0.5,0.6,0.2
No voy a discutir cosas que solo están en tu cabeza.,0.4,0.6,0.3
Siempre cambias la historia.,0.4,0.6,0.2
Me haces sentir como el malo sin razón.,0.3,0.7,0.2
Otra vez victimizándote.,0.5,0.7,0.2
"Todo gira alrededor de ti, ¿no?",0.3,0.6,0.3
De verdad necesitas ayuda.,0.4,0.5,0.2
No puedo decir nada sin que reacciones así.,0.3,0.5,0.2
Por eso ya no te cuento nada.,0.2,0.6,0.3
Me estás agotando.,0.3,0.5,0.1
Siempre encuentras algo para pelear.,0.4,0.6,0.2
No todo es un ataque contra ti.,0.2,0.5,0.2
Te encanta darle vueltas a todo.,0.3,0.5,0.3
Nunca es suficiente para ti.,0.3,0.7,0.1
No sé qué más quieres de mí.,0.2,0.6,0.1
Así no se puede contigo.,0.3,0.5,0.2
Estás confundiendo las cosas otra vez.,0.4,0.5,0.2
Eso no fue lo que quise decir y lo sabes.,0.3,0.6,0.2
Siempre malinterpretas todo.,0.4,0.5,0.2
No voy a seguir con esto.,0.2,0.4,0.1
Haz lo que quieras entonces.,0.2,0.4,0.4
Ya me cansé de explicarme.,0.2,0.4,0.2
"Estás tergiversando mis palabras, yo nunca dije eso.",0.5,0.7,0.2
Ya estás con la otra,0.5,0.7,0.2
Mejor cásate con ella,0.4,0.7,0.3
mejor quedate con ella,0.4,0.7,0.2
Te lo estoy diciendo,0.2,0.4,0.1
Quien te dejó salir,0.5,0.5,0.2
Vete con la otra,0.5,0.6,0.2
Ya no me amas verdad,0.3,0.8,0.1
Ya no quieres conmigo o qué,0.3,0.7,0.2
Óyeme a mí no me sales así,0.5,0.6,0.2
Tú no pides permiso y no lo tendrás,0.6,0.7,0.1
Tú no te mandas solo,0.5,0.6,0.1
Con quien vas,0.3,0.5,0.2
Y con el permiso de quien,0.3,0.5,0.2
Prométeme que no me vas a dejar.,0.1,0.8,0.0
"Soñé que me dejabas, fuiste horrible.",0.3,0.7,0.1
Nunca quieres estar conmigo.,0.3,0.7,0.1
Siempre me rechazas.,0.4,0.7,0.1
¿Ves? Por eso siento que te vas a ir.,0.2,0.7,0.2
"Te perdono, aunque me arruinaste la noche.",0.2,0.7,0.2
Solo vienes cuando te conviene.,0.3,0.7,0.2
No eres lo suficientemente cariñoso.,0.4,0.7,0.1
Eres demasiado frío.,0.5,0.6,0.1
Todo lo haces calculado.,0.4,0.5,0.2
Seguro hablas con otras.,0.5,0.6,0.2
Siempre tienes a alguien más.,0.4,0.7,0.2
Me provocas y luego te alejas.,0.4,0.6,0.2
Nunca es suficiente contigo.,0.3,0.7,0.1
Eres imposible de complacer.,0.4,0.7,0.1
¿Estás seguro de que pasó así?,0.2,0.5,0.3
Te lo estás inventando otra vez.,0.5,0.6,0.2
Estás igual que tu madre.,0.6,0.6,0.2
Siempre exageras todo.,0.4,0.6,0.2
Solo buscas pelea.,0.4,0.6,0.2
